custom_id,course_id,course_name,teacher,post_url,post_title,post_date,post_tag,year_term,has_template,recommendation,sweetness,workload,teaching_style,grading_method,summary
M.1282898476.A.34A__FL2028,FL2028,葡萄牙文一下,林祖誠,https://www.ptt.cc/bbs/NTUcourse/M.1282898476.A.34A.html,[評價] 98-2 林祖誠老師  葡萄牙文一下,Fri Aug 27 16:41:13 2010,評價,98-1,True,5,3,4,一上課的前十到二十分鐘是文化課程，主要是youtube影片搭配老師的講解 在學習語言的同時也可以同時認識葡萄牙的景物美食 習俗節慶 等等... (葡文一有介紹過葡萄牙fado音樂 古典吉他 足球 菜餚 教育...) 老師是留葡的學生 因此教學上是歐葡而非巴葡(腔調和文法有細微的差異) 文化教材也以葡萄牙為主 (其餘六個葡語國就比較沒有著墨) 其餘的時間按照教材遵循進度上課 口說的部分 老師會帶領大家從字母開始 到正確認識字彙以至句子文章 等大家都有基礎的能力後老師會以問答或遊戲互動 還有小組會話 聽力部分老師上課能用葡語的部分就使用葡語(會顧及大家的程度) 問候和一些基本的問題都盡量讓大家習慣…,紮實偏甜吧 兩學期都有九十以上 但是原po有待過葡萄牙所以不一定準...,老師很棒 收穫豐富!! Vamos aprender Portugues juntos 快來學葡文吧 :D
M.1672655284.A.A93__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1672655284.A.A93.html,[評價] 111-1 林聯喜 壁球初級,Mon Jan  2 18:28:02 2023,評價,111-1,True,5,,3,前半學期的課程以基礎技術教導為主，老師會先在大家面前示範， 接著再讓大家按照期初的分組練習，一路從發球、對牆短擊球、長擊球， 到簡單的對打、截擊... 等等。期間老師會在四間壁球室外巡視每個人練習的動作， 若有不對的話老師便會走進來糾正。前半學期的每堂課就在反覆練習下度過。 後半學期則以分組比賽為主，大部分時間都在組內對練，只有最後一週組間比賽。 這時候就是開心地和同學打球了！沒甚麼壓力～,40% 出席（少到一次扣 10%） 10% 運動參與報告（需為選手或工作人員、並附當場照片） 30% 組間比賽 20% 技能測驗（10% 連續對牆擊球、10% 發球）,打壁球是一項非常刺激的室內運動！而且很冷門，不會像桌球那樣需要搶爆 XD 而且老師教得很好～很多動作講解的都算仔細。推薦想在室內舒適上體育課的人們！
M.1551935066.A.F6F__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1551935066.A.F6F.html,[求救] 一34 林聯喜 籃球初級,Thu Mar  7 13:04:23 2019,求救,,False,,,,,,
M.1520266167.A.03D__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1520266167.A.03D.html,[問題] 林聯喜老師壁球初級 周二班 不上課時間,Tue Mar  6 00:09:25 2018,問題,,False,,,,,,
M.1499268844.A.D69__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1499268844.A.D69.html,[評價] 105-2 林聯喜 壁球初級,Wed Jul  5 23:34:01 2017,評價,105,True,3,,2,老師講解規則、握拍方式等等 這學期因為時間關係 沒有將Ceiba上面內容全部授課， 只主要教了四種擊球姿勢 （記憶中是這樣，錯誤請見諒）： 1.發球 2.正手拍 3.反手拍 4.截擊,"比賽 30% 技能測驗 20% 出席率與上課表現 50% （出席需達上課次數之2/3以上， 未達者一律為0分 ） 比賽為隊內兩兩對打， 每個隊友都會對到一次。 每個隊友都會對到一次。 技能測驗中發球左右各5顆， 共有11次機會，滿分10分。 對牆連續擊球則是連續好球20顆及格， 40顆滿分 作業分數：參加一項比賽 (如校園馬拉松,台大盃) 或參與106全國大專運動會志工500字以上， 附上作者照片。",我先說我自己拿C。 這個學期由於種種原因， 實際上只上了大約10次課， 理由包括全大運、老師帶隊參加比賽等等。 老師聲稱知道他的學生應該都知道， 若選修下學期的課， 通常在3月初都會因為比賽因素上不到課， 通常在3月初都會因為比賽因素上不到課， 但是此項並無法從課程資訊頁面看出， 在此提醒欲選課的大家。 因為只有10次課的緣故， 老師自己提到， 並不會像過去開課一樣上那麼多內容。 在教學示範上十分用心， 對於姿勢矯正十分注重。 在各組練習時也會來回巡視。 不過在方式上個人不能認同， 例如有一次輪到我發球時姿勢不正確， 老師口頭訂正一次還是不正確。 因此老師問我是什麼系的， 在我回答法律系後， …
M.1488864914.A.978__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1488864914.A.978.html,[求救] 今天67的林聯喜壁球初級？,Tue Mar  7 13:35:11 2017,求救,,False,,,,,,
M.1390452779.A.034__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1390452779.A.034.html,[評價] 102-1 林聯喜 壁球初級,Thu Jan 23 12:52:55 2014,評價,102-1,True,5,,,第一次上課在新體二樓。先分四組，每組8~10人。 之後上課選出組長，就以組為單位活動。 有時候會統一集合在B/C場動作講解，帶開後老師會在各組之間來回看。,普通...吧XD 期中（下述）30顆、沒交報告、全組排2，拿A。,是一門好課XD 老師下學期有開壁球中。 然後私心覺得手長腳長的人根本優勢占淨...跨兩步就到超方便的。
M.1388579516.A.4EB__PE5001,PE5001,壁球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1388579516.A.4EB.html,[評價] 壁球初級,Wed Jan  1 20:31:53 2014,評價,101-2,True,5,,3,學生人數共約四十人，因為只有四個壁球場，所以十人一組... 大部分時間都是輪流練習，因為人真的太多了，常常都還沒流汗就下課了XD,考發球跟對牆擊球 時間久遠，印象中發球是給11球，1球10分。 對牆擊球是界內20次60分，每多一次多4分。 滿分都是100，超過不計。 比賽有組內競賽跟分組競賽， 有個人分數也有團體分數，團體分數比重較重。 學期間正好學校有辦壁球比賽，有參加的可以另外加分。 體育課應該都是出席率佔最重吧XD,老師講話蠻有趣的XD講解也很清楚，人也很好。壁球算是比較冷門的 運動，平常接觸到的機會不多，能在學校學到也蠻難得的。我自己覺 得壁球很好玩，不過這就看個人了。 缺點是人真的太多了，場地也不太夠。所以每個人分到的練習時間很 少，平常也要收費，免費時段只有六點到八點，我覺得真的打到球的 時間不是很夠。我平常沒有運動習慣QQ，但整學期下來，我還是只有 比賽的那幾堂課有流汗... 好課值得一修~
M.1378863894.A.715__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1378863894.A.715.html,[問題]林聯喜籃球初級,Wed Sep 11 09:44:52 2013,問題,,False,,,,,,
M.1372780516.A.F62__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1372780516.A.F62.html,[評價] 101-2 林聯喜 籃球初級,Tue Jul  2 23:55:14 2013,評價,101-2,True,5,4,1,會看人數分組，一組以10人為主，每堂課暖身完會交一些基本的概念讓大 家熟悉，最後大約會留半小時左右的時間自由運用，想自己打三三或幹嘛 都可以。下雨天會到新體裡去打球，但假如不幸沒借到場地的話就會用看 影片當替代。,籃球欣賞報告－－10% 技能測驗－－60% 出缺席－－30% 算甜吧~基本上他考試都有符合他的要求且點名都有到應該不會太差,這門體育課感覺真的是初級，專門給沒有啥碰過籃球的人來修的。 有點基礎的人來修會覺得稍微有點無聊，因為印象中他真的沒有交什麼 特殊的技巧。 總之，假如你是缺體育學分想要輕鬆拿學分的話，這門課要拿高分一點 都不難。假如你是想學東西的話...其實也是可以修啦，但是想學東西 會比較建議修石明宗老師的課(原PO有亂入過幾堂課)，儘管他聽說真 的不甜~ 給大家參考囉~
M.1330676523.A.596__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1330676523.A.596.html,[求救] 林聯喜籃球初級是否要補課？,Fri Mar  2 16:22:00 2012,求救,,False,,,,,,
M.1268669222.A.855__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1268669222.A.855.html,[問題] 3/16林聯喜老師的籃球初級,Tue Mar 16 00:07:00 2010,問題,,False,,,,,,
M.1140189599.A.633__PE2084,PE2084,籃球初級,林聯喜,https://www.ptt.cc/bbs/NTUcourse/M.1140189599.A.633.html,Re: [問題] 林聯喜的籃球初級~,Fri Feb 17 23:31:27 2006,問題,,False,,,,,,
M.1626309509.A.412__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1626309509.A.412.html,[評價] 109-2 林致廷 半導體工程,Thu Jul 15 08:37:10 2021,評價,109-2,True,4,4,2,投影片，有些時候會用到板書,作業五次 30% Midterm 35% Final Test 35% 但今年因應疫情改為期末報告，自行撰寫一篇與半導體製程 相關的文章、主題等，含圖6至8頁為佳,這堂課 Loading 真的蠻輕的 (雖然我覺得是 Final Exam 改成 Report 的緣故) 期末報告我隨便找篇 Paper 來報，寫字的部分大概 2 頁，剩下全貼圖，期中8X 作業平均8X，最後拿A，應該算甜，畢竟期中考考很爛。 如果不喜歡去上課就拿學分的人，除了某只要有交白卷就不當人的控制系統，我 相信這門課應該會是更好的選擇 (？
M.1583438999.A.055__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1583438999.A.055.html,[評價] 107-2 林致廷 半導體工程,Fri Mar  6 04:09:57 2020,評價,107-2,True,5,,2,投影片 老師會另外補充許多知識、畫圖輔助 很多精華都是在老師口頭中提及 也會分享許多在業界或是學界的經驗談,作業 40% 期中 30% 期末 30%,老師很詳細地介紹半導體製程，過程完全不馬虎，也會帶些實驗品到課堂上給同學看。 有任何問題的話，課堂中問或是下課找老師討論都很樂意回答。 這學期有加了一個實驗室參觀的行程，可以近距離看到製程的步驟 有問題直接問學長，學長們也蠻熱心解答的，上課後再看到實際的製程步驟，會非常有印象。 參觀實驗室的行程雖然不強制，但很值得參與！ 課程投影片內容詳細，但份量有點多，平常要複習，如果累積到期末一次看的話會有點崩潰
M.1340036661.A.148__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1340036661.A.148.html,[問題] 林致廷的半導體工程,Tue Jun 19 00:24:18 2012,問題,,False,,,,,,
M.1331529653.A.2F3__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1331529653.A.2F3.html,Re: [問題] 林致廷 半導體工程,Mon Mar 12 13:20:50 2012,問題,,False,,,,,,
M.1298866214.A.920__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1298866214.A.920.html,[問題] 林致廷的半導體工程,Mon Feb 28 12:10:11 2011,問題,,False,,,,,,
M.1278999975.A.7AC__EE4032,EE4032,半導體工程,林致廷,https://www.ptt.cc/bbs/NTUcourse/M.1278999975.A.7AC.html,[評價] 98-2 林致廷 半導體工程,Tue Jul 13 13:46:12 2010,評價,98-2,True,5,4,3,投影片為主，不過老師會畫很多圖來幫助解釋，講得相當清楚，不過 內容有點多請自己要筆記，除了講義上的資料，老師常常會講很多他 以前自己做製程的經驗，學界與業界的差異，以及一些現在比較新的 製成方法等等，可以聽到很多東西,Midterm 30% Final 40% HW*6 30% 考試跟作業分數都有點偏高，所以好像只調一點點，老師一開始是說 會把成績調到平均80左右，但如果考高分也不會調低就是了,這是介紹半導體製程的課，在電機系裡是很罕見的沒有數學沒有物理，完全 都是文字性的介紹，我覺得不管對製程有沒有興趣這門課都值得修，畢竟半 導體製程在台灣有很重要的地位，也是整個電子產業的基本，多了解一點也 是好的，老師很年輕，人很好，下課可以去跟問問題或是聊天，上課也算是 輕鬆，課程內容蠻淺的，好不好就見仁見智，但是量就蠻可觀，要小心投影 片的數量，平常就要慢慢消化，拖到考前才看可能會嚇一跳
M.1550660324.A.7C1__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1550660324.A.7C1.html,"五6,7 林謙如 - 游泳初級",Wed Feb 20 18:58:41 2019,,,False,,,,,,
M.1498923121.A.BDD__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1498923121.A.BDD.html,[評價] 105-2 林謙如 游泳中級（進階班）,Sat Jul  1 23:31:58 2017,評價,105-2,True,5,5,3,"一次兩堂課。 第一堂會在室內岸上先做伸展以及核心運動（躺姿抬腳仰臥起坐、伏地挺身等）, 老師說因為是進階班,所以想透過訓練核心肌群增強大家的游泳能力。做完是真的 會喘會流汗XD 第二堂課才是正式下水。102學年度曾經修過老師的游泳中級,當時老師是自己下 水,但近幾年似乎因為有請到助教,所以下水示範都由助教實行。基本上助教游得 非常優美標準,個人是認為沒什麼差啦XD 下水後會有大概400公尺的熱身,通常是四式都會輪替著游。 熱身完後會開始進行當周菜單,看課程內容是什麼,期中考前是姿勢的拆解練習 （例如側身游自由式、抬頭捷、蛙式划手不踢水etc.）,期中考後則是直接計時or 規定趟數後直接游。整堂…","期末檢測項目-2 15% 100公尺自由式計時測驗 期末檢測項目-1 25% 1500公尺計時測驗 期中檢測項目 20% 200公尺四式連續游 學期長泳單 10% 學期規定課外長泳20000公尺 課程參與 30% 全勤滿分,未請假第一次扣10分,第二次扣15分 全學期缺課不得超過三次（包含病假事假） 女生生理期岸上跟課不算缺席,只是需另外長泳補課 我是覺得很甜,不過因為個人算是有一定游泳基礎（有修過泳中,小學上過三年課 ）,所以不算太費力。基本上只要能跟上進度,我覺得老師給分都還不錯","老師這門課是想要開給「有志將游泳變成一生的運動」的人,在上完之後,的確每 一式的姿勢都更加熟練優美,進步很多,另外學期後半的肌肉與心肺訓練,也有種回 到小學時期游泳魔鬼訓練班的感覺XD 總之,若有一定基礎,且想更精進游泳姿勢的人,強烈推薦這門中泳進階班！！老師 真的是教得非常好！！覺得大學能修到這門課真的很難得。"
M.1442284365.A.05D__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1442284365.A.05D.html,[加簽] 林謙如 游泳初級,Tue Sep 15 10:32:42 2015,加簽,,False,,,,,,
M.1436933226.A.C7D__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1436933226.A.C7D.html,[評價] 103-2 林謙如 游泳中級,Wed Jul 15 12:07:01 2015,評價,,True,5,5,5,平常是第一節課在室內做幾個瑜珈暖身拉筋的動作，我個人是筋超級硬的那 種，只要盡力做就好不會太要求，做完後會講解今天要教學的動作並在陸上 先簡單的練習一下，然後第二堂課就下水了。 下學期前半會先在25M室內游泳池上課，5月後室外水溫高於25度才會在室 外50M池上課。因為這堂課是泳中至少都會蛙式自由式，一下水會先有個12分 鐘的暖身時間，而這跟期末的測驗有關係。 一開始會先從自由式開始教學，改進大家的划手動作與打水節奏，會教S形划手 和六拍打水；第二個教的是仰式，教仰式的身體姿勢要求、划手、打水；再來 是蛙式的出發與動作；然後教自由式的滾轉，期中前差不多是這樣。 後半學期大部分都在教蝶式，也就是…,"25% 期末混合四式 (25蝶+50仰+75蛙+100自) 10% 課外14000M長泳 30% 課程參與 全勤就30%，缺席扣""很重"" 15% 期中5自5仰50公尺 20% 期末12分鐘長泳 我是 全勤+14000M游完+12分鐘525M 考試應該還OK 最後拿A+ 應該算肯練習就簡單拿高分",每周下水一個小時是不夠的，所以一定要自己找時間去練習，只要肯認真練 習一定可以學到很多。
M.1405065352.A.0F3__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1405065352.A.0F3.html,[評價] 102-2 游泳中級 林謙如,Fri Jul 11 15:55:50 2014,評價,,True,5,3,5,課程一開始會帶瑜珈來熱身 不用擔心柔軟度不好不敢選 老師這部分是不會打分數的 然後在岸上作姿勢訓練，才下水 一般來講，會擺個計時鐘計時12min讓你游 這是學期末要考的其中一項 每個新動作 老師會先示範，再讓同學試一次 建議大家可以在老師示範時潛到水中去看 會比較清楚 通常來講，一堂課的份量不會太重,我覺得偏紮實分吧 考試中途要是做錯老師可是會請你重考的 注重姿勢的考試老師都蠻嚴格的 看距離的考試要滿分也要一些努力,我覺得老師教得很好，基本動作教得很紮實 同學有問題他都會一一耐心指導，還會幫我們抓出動作的缺點 人也很nice呦~ 不過還是強烈建議，想拿高分需要有些基礎 初學者還是修泳初比較適合 我有同學表示基礎不好修泳中很痛苦... 最後建議大家，長泳最好早點開始累計 不然學期末會有點爆炸(我是游完了啦，期末差點炸了這樣..)
M.1404129409.A.152__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1404129409.A.152.html,[評價] 102-2 林謙如 游泳初級,Mon Jun 30 19:56:46 2014,評價,102-2,True,5,,3,第1週 02/18 課程大綱介紹－游泳能力調查、瑜珈伸展介紹 第2週 02/25 水性適應－韻律呼吸、漂浮、漂浮站立、水母漂 第3週 03/04 水性適應－蹬牆漂浮與站立、蹬牆打水、仰漂、仰漂站立 第4週 03/11 複習（二、三）自由式打水（側踢）技巧介紹 第5週 03/18 複習（四）、自由式划手技巧介紹、姿勢練習 第6週 03/25 複習（四、五）、聯合動作練習、姿勢練習、長泳練習 第7週 04/01 聯合動作練習(2)、仰式動作技巧與聯合動作、長泳練習 第8週 04/08 姿勢練習（測驗動作）、仰式動作技巧與聯合動作、長泳練習 第9週 04/15 期中檢測－自由式（四方打水25公尺) …,我原本是基幾乎乎不會游泳的人，算是蠻勤奮練習的，期中考四方打水划手錯誤有重考， 期末考的蛙式手划得太後面、自由式划手抱水手不夠彎(都是考完試時老師給的建議)， 上課沒有缺席也沒有遲到，最後拿到A+ :D,大家一起快樂學游泳吧!!! :D
M.1392724362.A.3F6__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1392724362.A.3F6.html,[問題] 游泳中級-林謙如 加簽,Tue Feb 18 19:52:39 2014,問題,,False,,,,,,
M.1392633318.A.5F9__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1392633318.A.5F9.html,[問題] 游泳初級-林謙如 加簽,Mon Feb 17 18:35:15 2014,問題,,False,,,,,,
M.1348473799.A.B5B__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1348473799.A.B5B.html,[問題] 林謙如老師游泳中級,Mon Sep 24 16:03:17 2012,問題,,False,,,,,,
M.1347521361.A.74B__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1347521361.A.74B.html,[問題] 林謙如老師的游泳中級,Thu Sep 13 15:29:18 2012,問題,,False,,,,,,
M.1334818232.A.F79__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1334818232.A.F79.html,[問題] 556游泳中級 林謙如老師,Thu Apr 19 14:50:27 2012,問題,,False,,,,,,
M.1330531334.A.69C__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1330531334.A.69C.html,[問題] 二56 林謙如 游泳初級加簽?,Thu Mar  1 00:02:10 2012,問題,,False,,,,,,
M.1285823414.A.CEF__PE2054,PE2054,游泳中級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1285823414.A.CEF.html,[問題] 五34  林謙如老師的游泳中級,Thu Sep 30 13:10:11 2010,問題,,False,,,,,,
M.1278470197.A.7BD__PE2053,PE2053,游泳初級,林謙如,https://www.ptt.cc/bbs/NTUcourse/M.1278470197.A.7BD.html,[評價] 98-2 游泳初級 林謙如,Wed Jul  7 10:36:35 2010,評價,98-2,True,5,,4,游泳進行的教學區約四五月前都在新體溫水游泳池，之後才會到戶外池。 每次上課會先在新體地下一樓重訓室旁的韻律教室熱身，老師會以一套 瑜珈動作取代傳統認知的熱身操，所以一次選課雙重享受。 老師以前是經驗豐富的國手還有體育主播，所以專業技術層面毋庸置疑， 然而最難能可貴的是耐心，從任何一個微小的動作開始帶起，卻不曾不耐煩 過，永遠都是親切還有微笑待人，而且不畏風寒的敬業呀。,考試不難，所以完成後對照分數非常滿意。,還有一個重點的重點：老師很正。
M.1655808134.A.CD7__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1655808134.A.CD7.html,[評價] 110-2 林軒田/蔡欣穆 資料結構與演算法,Tue Jun 21 18:42:12 2022,評價,110-2,True,4,4,3,去年那篇寫得挺完整的，補充一些今年不一樣的地方 林軒田：投影片非常精美，上課會手寫投影片補充，講解得很完整，即使對內容有基礎認 識還是會學到新東西，內容比較在邏輯層次跟應用，對code不會細講，聽課到要能寫出程 式作業可能有一段距離。老師上課相當幽默，常常會講一些小故事，還會被Rickroll。 蔡欣穆：今年也是翻轉教室，影片、投影片跟作業都在COOL上自己看，上課時間基本上都 是活動，像是2個小時的Kahoot，個人覺得相當好玩。影片講的非常清楚，基本上就是有 聲音跟動畫的GDB，還可以看無限多遍。 這學期基本上是非同步全線上，只有考試跟幾次活動需要在上課時間出席，所以我個人影 片都開2.5…,Homework 0-4: 40% of raw score Class activities: 20% of raw score Midterm exam: 20% of raw score Final exam: 20% of raw score 等第會重切，甜度如何等成積出來再更新,這堂課是我這學期最喜歡的一堂課，特別喜歡程式題，每次寫完都覺得好開心，可是只有 兩題覺得有點可惜，最後一題Treap都捨不得AC，喜歡寫程式的話大推。 身為一個電機系學生，個人非常羨慕有這樣的課，教授親民且願意創新，有什麼意見隔年 都會有進步(看看我們的電磁二)，還有一群願意服務學弟妹且強大的助教群，討論風氣無 可挑剃，給20幾位助教最大的Respect。 另外想說的是Discord討論區，我覺得非常棒，9點剛起床就能在床上Office Hour，大半夜 也都有人會回問題，還會有教授的梗圖，讓你24小時都有DSA 以上是電機系雙資工同學的看法，這堂課畢竟還是個資工系必修，開放一類加不代表他是 …
M.1624878861.A.3AF__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1624878861.A.3AF.html,[評價] 109-2 林軒田/蔡欣穆 資料結構與演算法,Mon Jun 28 19:14:19 2021,評價,,True,4,2,4,林軒田老師：全實體授課，課前會提供充滿許多空白的大綱投影片，上課時就會在上面邊畫 畫邊講解，上課的步調我覺得還蠻容易吸收的，不過有同學可能會覺得太慢。老師擅長從無 到有地引導著大家走過一個資料結構誕生的過程（會問說我們現在有什麼？這樣有什麼問題 ？可以怎麼改？需要再加什麼？ ），我很喜歡這個思考的過程，讓我們不僅能know what 也能know why，每個禮拜都很期待去上實體課嗚嗚。老師也喜歡跟同學們互動，除了會用sl ido讓大家當場提問，有時看臺下同學沒精神時會故意寫錯內容，然後用自製的點名機抽人 來「大家來找碴」，不過答不出來老師也不會為難，或也可以喊pass跳過。 蔡欣穆老師：採翻…,作業 30% （10% x 3次） 期中考 15% 期末考 20% 課堂活動 20% 期末專題 15% 很紮實的紮實分。 老師表示等第跟原始分的換算未必按照學校的標準。,雖然課程難度不低，但能感受到老師一直支持著push著大家（？），想辦法幫助同學們學習 ，slido 也是有問必答，軒田老師常常在課堂中作鼓勵之語，我每次聽完心中都有一種很安 心的感覺xD，我想也是因為這份安心感而給我繼續前進的勇氣吧。此外也能感受到老師們也很想給同學們一點課堂以外的東西，像是自我學習與 團隊工作的重要、分享軟體工程界的見聞等等，都是很可貴的收穫。 另外值得一提的現象是在cool討論版上討論題目的風氣頗盛，除了助教會留言回覆之外，也 會有很多熱心的同學分享自己的想法或幫別人解惑，我很喜歡這樣的氛圍，有大家一起成長 的感覺，我想也是因為大班課才有機會創造出這樣的環境（之前修商管程設…
M.1583574818.A.5D4__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1583574818.A.5D4.html,[問題] 林軒田 資料結構與演算法 徵討論友,Sat Mar  7 17:53:36 2020,問題,,False,,,,,,
M.1583393628.A.D2E__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1583393628.A.D2E.html,[News] 林軒田 資料結構與演算法 加簽,Thu Mar  5 15:33:46 2020,News,,False,,,,,,
M.1393226350.A.859__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1393226350.A.859.html,[求救] 資料結構與演算法 林軒田老師,Mon Feb 24 15:19:07 2014,求救,,False,,,,,,
M.1373273763.A.872__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1373273763.A.872.html,[評價] 101-2 林軒田 資料結構與演算法,Mon Jul  8 16:56:00 2013,評價,101-2,True,2,,5,投影片、白板 都會公佈到課程網上,best homework*1.5 + worst homework*0.5 + other homework + midterm*2 + final project*4)/12/2 因為滿分都是200分(以上)所以最後有除以2 非常扎實！但好好念，作業好好做最後一定可以拿到好成績,老師上課很認真，也很在意學生的學習狀況 有時會故意寫錯來測試學生有沒有學懂 另外老師很喜歡講笑話！其實還蠻有趣的！ 不過作業真的很重，大概兩個禮拜一次作業 每次真的花20-30小時以上 其實如果有早早開始寫應該是不會看到日出的 但人總是有惰性啦哈哈 如果死線前一兩天才動工真的會覺得寫不完 不過每次熬夜到3、4點的時候老師會在FB課程社團發文問大家狀況 會讓人更想努力寫作業 常常被老師深夜還在線上嚇到 而且老師很宅(誤 ，有逛ptt的習慣 也會到個版鼓勵學生，非常熱衷教學 總之這門課真的可以學到很多東西，有努力成績也會不錯看！
M.1309482024.A.EC9__CSIE1212,CSIE1212,資料結構與演算法,林軒田,https://www.ptt.cc/bbs/NTUcourse/M.1309482024.A.EC9.html,[評價] 資訊系 資料結構與演算法 林軒田,Fri Jul  1 09:00:18 2011,評價,99-2,True,5,,2,投影片、板書，因應不同的教學內容做適時的更動,raw score=(best homework*1.5 + worst homework*0.5 + other homework + midterm*4 + final project*8)/14 老師說不會為特殊原因調分(例如從58->60),這是老師第一次開這門課，他自己也在尋找適合的上課方式，所以有時上課是 用投影片，有時會用版書，有時會在上課直接寫程式。 老師也會去逛同學的P2個版看大家對作業以及上課內容的看法並做出回應。 看得出老師很努力的想讓學生不要睡著，每次上課都會精心準備笑話 (雖然每次上課的笑點大多不是因為他的笑話XD) 下課有問題去問老師，老師總是不厭其煩的講到你懂為止。 是一位富有教學熱忱的老師。
M.1686985393.A.6C8__LAW3260,LAW3260,刑事訴訟法,林鈺雄,https://www.ptt.cc/bbs/NTUcourse/M.1686985393.A.6C8.html,[評價] 111-2 林鈺雄 刑事訴訟法,Sat Jun 17 15:03:11 2023,評價,111-2,True,4,3,4,主要以PPT講授，內容大概是上述教科書的節錄（而且ppt字不多），以下轉載筆者同學的 評論： 「1.非常強調要預習完教科書再去上課，但真的看完書去上課之後，我只覺得我幹嘛還要 去上課。基本上我不會說他的課程完全沒有內容，有時候也會在上課補充最新的實務見解 ，但大多時候可能針對投影片內容詳加說明一下（內容大抵上跟教科書差不多）、連續跳 好幾頁投影片，或是開始講自己的豐功偉業，個人覺得坐在教室四個小時聽這些CP值滿低 的。當然這也要看每個人適合的學習方式，像我到後面就是發現自己讀教科書快很多也比 較清楚，所以就都沒去上課，就是問有去上課的同學（就是筆者）進度到哪裡然後跟著課 程進度讀。 2.課程內…,想真的學到東西的話大概滿硬（尤其需要自己去翻書翻資料） 給分算一般吧，沒有特別甜，筆者期中拿A-，最後A 補充一下老師改考卷不會打分數，會直接打等第,就筆者而言，其實因為大一大二的修課經驗讓我很不喜歡刑事法，但畢竟程序法是另外一 個領域，總體而言其實我不討厭刑訴，甚至滿期待每週上課的，尤其老師的書應該算是對 刑訴新手而言很適合的入門書（同學曰：厚厚的入門書），有把該週進度讀完的話應該可 以比較享受禮拜二下午的四個小時（嗎）。但同樣地，因為就是要在一學期幾乎上完那兩 本教科書的內容，老師上課也不會全部講完，自己就必須得在課後花很多時間慢慢啃書， 畢竟就是遲早都得看完所以不如來修這堂課督促自己讀完它。 每週老師的閒聊時間真的滿多（是不是有自己寫書的老師的通病？），或是期待我們自己 已經回去讀完進度了所以就沒那麼扎實的上完課，但筆者覺得每週講案例…
